first_matrix:
0	3	1	0	6	6	4	4	3	0
4	2	1	5	4	4	0	3	1	5
5	0	0	7	6	5	0	4	0	9
3	5	7	7	3	5	2	4	2	9
5	6	4	5	5	7	8	5	8	1
4	1	5	8	8	4	4	9	5	1
0	9	7	2	8	9	4	9	5	3
5	7	0	4	0	7	1	5	7	8
5	8	5	3	0	4	5	7	4	8
1	4	4	5	0	6	7	1	4	0

second_matrix:
6	1	6	4	8	5	6	0	9	3
6	2	1	6	0	4	4	0	3	9
6	5	0	0	6	1	0	3	6	5
0	8	1	8	9	8	5	1	2	2
8	6	4	0	0	1	7	8	0	6
0	1	6	8	6	2	9	5	5	1
5	2	8	7	1	4	0	3	2	9
0	9	2	1	2	7	1	4	6	8
9	4	7	4	1	3	5	5	7	6
8	4	1	4	2	0	6	5	3	1

mat_mul operation result:
119	109	124	110	57	84	127	124	98	160
123	132	89	127	124	105	159	102	118	108
150	174	108	156	159	125	210	141	135	111
214	211	119	200	189	153	207	154	192	197
250	211	234	249	179	203	228	181	237	297
197	260	175	179	187	203	200	185	205	253
249	247	185	211	147	179	235	220	224	318
204	165	158	222	152	159	229	137	214	192
233	195	155	214	160	175	188	141	229	255
125	114	137	182	126	124	122	92	133	170
