first_matrix:
0	3	1	0	6	6	4	4	3	0
4	2	1	5	4	4	0	3	1	5
5	0	0	7	6	5	0	4	0	9
3	5	7	7	3	5	2	4	2	9
5	6	4	5	5	7	8	5	8	1
4	1	5	8	8	4	4	9	5	1
0	9	7	2	8	9	4	9	5	3
5	7	0	4	0	7	1	5	7	8
5	8	5	3	0	4	5	7	4	8
1	4	4	5	0	6	7	1	4	0

second_matrix:
6	1	6	4	8	5	6	0	9	3
6	2	1	6	0	4	4	0	3	9
6	5	0	0	6	1	0	3	6	5
0	8	1	8	9	8	5	1	2	2
8	6	4	0	0	1	7	8	0	6
0	1	6	8	6	2	9	5	5	1
5	2	8	7	1	4	0	3	2	9
0	9	2	1	2	7	1	4	6	8
9	4	7	4	1	3	5	5	7	6
8	4	1	4	2	0	6	5	3	1

mul operation result:
0	3	6	0	48	30	24	0	27	0
24	4	1	30	0	16	0	0	3	45
30	0	0	0	36	5	0	12	0	45
0	40	7	56	27	40	10	4	4	18
40	36	16	0	0	7	56	40	0	6
0	1	30	64	48	8	36	45	25	1
0	18	56	14	8	36	0	27	10	27
0	63	0	4	0	49	1	20	42	64
45	32	35	12	0	12	25	35	28	48
8	16	4	20	0	0	42	5	12	0
