first_matrix:
7	1	2	0	4	1	4	0	2	9
8	1	5	2	7	6	7	2	5	4
5	8	5	0	8	9	6	1	8	7
5	8	1	4	9	0	2	3	2	5
6	9	1	7	9	7	7	8	2	2
9	0	0	8	7	8	1	2	0	5
9	7	0	3	9	7	6	5	2	0
3	6	0	7	9	6	3	9	5	0
0	7	7	6	8	6	8	0	1	7
5	1	6	3	4	5	4	4	0	8

second_matrix:
8	7	5	1	4	2	6	3	5	8
0	2	9	8	8	4	6	1	5	1
4	6	1	2	6	8	0	5	2	9
4	1	7	1	6	4	3	5	4	3
5	4	7	5	8	5	5	4	9	4
7	3	4	5	4	1	9	3	8	7
8	0	2	9	2	6	8	5	3	0
1	6	4	1	1	9	3	0	1	6
1	7	5	8	2	5	9	3	5	8
9	0	3	7	0	8	1	5	9	2

add operation result:
15	8	7	1	8	3	10	3	7	17
8	3	14	10	15	10	13	3	10	5
9	14	6	2	14	17	6	6	10	16
9	9	8	5	15	4	5	8	6	8
11	13	8	12	17	12	12	12	11	6
16	3	4	13	11	9	10	5	8	12
17	7	2	12	11	13	14	10	5	0
4	12	4	8	10	15	6	9	6	6
1	14	12	14	10	11	17	3	6	15
14	1	9	10	4	13	5	9	9	10
