first_matrix:
7	1	2	0	4	1	4	0	2	9
8	1	5	2	7	6	7	2	5	4
5	8	5	0	8	9	6	1	8	7
5	8	1	4	9	0	2	3	2	5
6	9	1	7	9	7	7	8	2	2
9	0	0	8	7	8	1	2	0	5
9	7	0	3	9	7	6	5	2	0
3	6	0	7	9	6	3	9	5	0
0	7	7	6	8	6	8	0	1	7
5	1	6	3	4	5	4	4	0	8

second_matrix:
8	7	5	1	4	2	6	3	5	8
0	2	9	8	8	4	6	1	5	1
4	6	1	2	6	8	0	5	2	9
4	1	7	1	6	4	3	5	4	3
5	4	7	5	8	5	5	4	9	4
7	3	4	5	4	1	9	3	8	7
8	0	2	9	2	6	8	5	3	0
1	6	4	1	1	9	3	0	1	6
1	7	5	8	2	5	9	3	5	8
9	0	3	7	0	8	1	5	9	2

mul operation result:
56	7	10	0	16	2	24	0	10	72
0	2	45	16	56	24	42	2	25	4
20	48	5	0	48	72	0	5	16	63
20	8	7	4	54	0	6	15	8	15
30	36	7	35	72	35	35	32	18	8
63	0	0	40	28	8	9	6	0	35
72	0	0	27	18	42	48	25	6	0
3	36	0	7	9	54	9	0	5	0
0	49	35	48	16	30	72	0	5	56
45	0	18	21	0	40	4	20	0	16
